name,team,jersey_number
"BONHOMME, DK",Edmonton Elks,47
"CANTIN-ARKU, Geoffrey",Montreal Alouettes,9
"NKANU, Christy",Calgary Stampeders,65
"Dumoulin Duguay, Nathaniel",Hamilton Tiger-Cats,61
"UNA, Anu",BC Lions,61
"Mital, Kevin",Toronto Argonauts,10
"LABROSSE, Ben",Calgary Stampeders,29
"Mardner, Nick",Ottawa Redblacks,84
"DUBLANKO, Joel",Edmonton Elks,50
"Irish, Jesiah",Calgary Stampeders,0
"BROOKS, Erik",Calgary Stampeders,87
"NOUILI, Nouredin",Ottawa Redblacks,65
"Ogbevoen, Lucky",,43
"LAMETA, Heston",,35
"CLARK, Sam",,70
"WEITZ, Fabian",,50
"Edwards, Jeremy",,72
"MEYER, Carl",BC Lions,17
"Constantinou, Nikolas",Hamilton Tiger-Cats,31
"Tiavaasue, Ron",,46
"Taleni, Tyrone",Saskatchewan Roughriders,0
"MAUGA-CLEMENTS, Eteva",Edmonton Elks,38
"HORTON, Kaylon",Calgary Stampeders,88
"Smith, Eric",,0
"Jones, Nick",,62
"Houston Jr, Sidney",,0
"Marshall, Trezmen",,53
"Reed, Kenyon",,43
"Schnee, Sam",Ottawa Redblacks,8
"Walton, Zamari",Hamilton Tiger-Cats,20
"Gubner, Alex",,98
"Latham, Sam",,0
"Emmanuel, D'Mitri",Saskatchewan Roughriders,0
"JIBUNOR, Richard",Edmonton Elks,96
"Mastrogiuseppe, Dante",,0
"Lesieur, Frederik",,0
"McDonald, Camren",,78
"Wright, Brandon",,90
"McGowan, Kyric",,84
"Norman, Isaiah",,0
"Walker, KiShawn",,5
"Jones, Kameron",,0
"Lowe III, Woodrow",,0
"Miller, Eric",,66
"Kendricks Jr, Mario",Hamilton Tiger-Cats,90
"McAllister, Elijah",,97
"Rogers, Patrick",,37
"Ford, Demetries",,34
"McKenzie, Darion",,36
"WILLIAMS, D.J.",,33
"Horn, Tucker",Toronto Argonauts,5
"Thomas, Tre",,47
"BROOKS, Phillip",,88
"Russell Jr, Chris",,48
"Rogers, Marcus",Toronto Argonauts,0
"TERRELL, Jordan",,28
"Lua, Juan",,0
"ADAMS, Devin",,94
"Keith, Khalil",,0
"Brooks, Kennedy",,0
"Slywka, Derek",Toronto Argonauts,20
"Stephens, Shon",,28
"Bristol, Jacques",,0
"Milton, Mark",Ottawa Redblacks,30
"Jackson-Trotter, Jeremiah",,0
"Thomas, Josh",,0
"CAMPBELL, James",Winnipeg Blue Bombers,0
"Ekiyor Jr, Emil",Montreal Alouettes,0
"TEUHEMA, Maea",,0
"Zepeda, Hector",,57
"Toles, Jordan",,25
"Moss, Thaddeus",,0
"McGowan, Chase",Ottawa Redblacks,95
"Murphy, Marcus",,0
"Hughes Jr, Brian",,0
"Angulo-Santana, Juan Carlos",,0
"Bell, Atlias",,92
"Clark, Macon",,0
"BURTON, Sam",,0
"Ratkovich, Clint",,25
"Myers, Austin",,0
